placement,augments,traits,champions
5,"['Not Today', 'Long Distance Pals II', 'Defensive Dash']","[('Shadow Isles', '4'), ('Redeemer', '1'), ('Challenger', '4'), ('Ionia', '3'), ('Bastion', '2')]","[('Irelia', '2'), ('Kalista', '2'), ('Shen', '1'), ('Yasuo', '2'), (""Kai'Sa"", '2'), ('Gwen', '2'), ('Senna', '1')]"
4,"['Unified Resistance I', 'Gunner Heart', 'Gunner Crown']","[('Gunner', '6'), ('Redeemer', '1'), ('Technogenius', '1'), ('Shadow Isles', '3'), ('Yordle', '3'), ('Bastion', '2'), ('Zaun', '2')]","[('ApexTurret', 0), ('Poppy', '2'), ('Maokai', '3'), ('Viego', '3'), ('Tristana', '3'), ('Jinx', '2'), ('Zeri', '2'), ('Heimerdinger', '1'), ('Senna', '1')]"
4,"['Ionia Crown', 'Challenger Crown', 'Long Distance Pals II']","[('Challenger', '6'), ('Ionia', '6'), ('Redeemer', '1'), ('Invoker', '2'), ('Juggernaut', '2'), ('Shadow Isles', '2')]","[('Irelia', '1'), ('Sett', '2'), ('Warwick', '2'), ('Karma', '2'), ('Kalista', '2'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Senna', '2')]"
1,"['Cruel Pact', 'Cybernetic Bulk I', 'Capricious Forge']","[('Strategist', '3'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Sorcerer', '2')]","[('Swain', '2'), ('Taliyah', '2'), ('Garen', '2'), ('Nasus', '2'), ('Lux', '2'), ('Azir', '2'), ('Jarvan IV', '3')]"
2,"['Bruiser Crown', 'Cybernetic Leech III', 'Freljord Soul']","[('Bruiser', '6'), ('Freljord', '3'), ('Technogenius', '1'), ('Void', '3'), ('Sorcerer', '2')]","[('ApexTurret', 0), (""Cho'Gath"", '2'), ('Vi', '2'), ('Lissandra', '2'), (""Rek'Sai"", '3'), (""Kai'Sa"", '2'), ('Sejuani', '2'), ('Heimerdinger', '1'), ('Sion', '1'), ('Ahri', '2')]"
2,"['Stable Evolution', 'Missed Connections', 'Phreaky Friday+']","[('Void', '7'), ('Bruiser', '2'), ('Challenger', '2'), ('Multicaster', '2'), ('Sorcerer', '2')]","[(""Cho'Gath"", '2'), ('Malzahar', '3'), ('Kassadin', '3'), ('Sona', '1'), (""Vel'Koz"", '3'), (""Rek'Sai"", '3'), ('Yasuo', '2'), (""Kai'Sa"", '2')]"
4,"['All That Shimmers', 'Challenger Heart', 'Long Distance Pals II']","[('Challenger', '8'), ('Empress', '1'), ('Ionia', '3'), ('Shadow Isles', '2')]","[('Irelia', '2'), ('Warwick', '2'), ('Kalista', '2'), ('Yasuo', '2'), ('Shen', '2'), (""Kai'Sa"", '2'), ('Gwen', '2'), (""Bel'Veth"", '2')]"
8,"['Long Distance Pals II', 'Healing Orbs I', 'Tons of Stats!']","[('Yordle', '3'), ('Bastion', '2'), ('Gunner', '2'), ('Shadow Isles', '2')]","[('Maokai', '2'), ('Poppy', '3'), ('Viego', '3'), ('Tristana', '3'), ('Teemo', '2'), ('Jinx', '2')]"
5,"['Buried Treasures II', 'Sleight of Hand', 'Unified Resistance II']","[('Strategist', '3'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Sorcerer', '2')]","[('Swain', '2'), ('Taliyah', '2'), ('Garen', '2'), ('Nasus', '1'), ('Lux', '1'), ('Azir', '2'), ('Jarvan IV', '2')]"
1,"['Cruel Pact', 'Cybernetic Leech III', ""Tactician's Tools""]","[('Strategist', '4'), ('Demacia', '3'), ('Shurima', '3'), ('Juggernaut', '2'), ('Multicaster', '2'), ('Sorcerer', '2')]","[('Teemo', '1'), ('Swain', '2'), ('Taliyah', '2'), ('Garen', '2'), ('Nasus', '2'), ('Azir', '2'), ('Jarvan IV', '2'), ('Lux', '3')]"
