placement,augments,traits,champions
3,"['Cybernetic Leech III', 'Know Your Enemy']","[('Multicaster', '4'), ('Strategist', '4'), ('Sorcerer', '5'), ('Demacia', '3')]","[('Taliyah', '1'), ('Swain', '2'), ('Teemo', '2'), ('Taric', '1'), ('Sona', '2'), (""Vel'Koz"", '3'), ('Lux', '2'), ('Azir', '2'), ('Jarvan IV', '2')]"
6,"['A Cut Above', 'Level Up!', 'It Pays to Learn II']","[('Darkin', '1'), ('Empress', '1'), ('Redeemer', '1'), ('Technogenius', '1'), ('Wanderer', '1'), ('Ionia', '3'), ('Shurima', '3'), ('Bastion', '2'), ('Invoker', '2'), ('Juggernaut', '2')]","[('ApexTurret', 0), ('Taliyah', '1'), ('Shen', '1'), ('Nasus', '2'), (""Bel'Veth"", '1'), (""K'Sante"", '1'), ('Heimerdinger', '1'), ('Ahri', '1'), ('Ryze: ShadowIsles', '2'), ('Senna', '2'), ('Aatrox', '2')]"
5,"['Transfusion I', 'It Pays to Learn II']","[('Darkin', '1'), ('Empress', '1'), ('Redeemer', '1'), ('Technogenius', '1'), ('Wanderer', '1'), ('Bastion', '2'), ('Invoker', '2')]","[('ApexTurret', 0), ('Shen', '2'), (""Bel'Veth"", '1'), (""K'Sante"", '1'), ('Heimerdinger', '1'), ('Senna', '1'), ('Sion', '1'), ('Ahri', '1'), ('Aatrox', '1'), ('Ryze: Shurima', '2')]"
2,"['All That Shimmers', 'Army Building', 'It Pays to Learn II']","[('Freljord', '3'), ('Darkin', '1'), ('Shurima', '3'), ('Bastion', '2'), ('Bruiser', '2'), ('Deadeye', '2'), ('Invoker', '2'), ('Juggernaut', '2')]","[('Ashe', '1'), ('Lissandra', '2'), ('Akshan', '3'), ('Nasus', '2'), ('Shen', '2'), ('Sejuani', '2'), ('Aatrox', '1'), (""K'Sante"", '2'), ('Sion', '2')]"
8,"['Risky Moves', 'Knowledge Download II', 'Scoped Weapons']","[('Ionia', '6'), ('Challenger', '4'), ('Invoker', '2'), ('Juggernaut', '2')]","[('Irelia', '1'), ('Zed', '1'), ('Warwick', '1'), ('Sett', '2'), ('Karma', '1'), ('Shen', '1'), ('Yasuo', '2'), (""Kai'Sa"", '2'), ('Sion', '1')]"
1,"['Sorcerer Crown', 'Healing Orbs I']","[('Multicaster', '4'), ('Strategist', '4'), ('Sorcerer', '4'), ('Demacia', '3')]","[('Swain', '2'), ('Taliyah', '2'), ('Teemo', '2'), (""Vel'Koz"", '3'), ('Sona', '3'), ('Lux', '2'), ('Azir', '2'), ('Jarvan IV', '2')]"
2,"['Cybernetic Leech II', 'Frequent Flier', 'Magic Wand']","[('Slayer', '6'), ('Darkin', '1'), ('Demacia', '3'), ('Yordle', '3'), ('Bastion', '2'), ('Shadow Isles', '2'), ('Strategist', '2')]","[('Maokai', '3'), ('Kayle', '3'), ('Poppy', '3'), ('Zed', '1'), ('Teemo', '2'), ('Kled', '3'), ('Gwen', '1'), ('Jarvan IV', '2'), ('Aatrox', '1')]"
1,"['Ionia Crest', 'Idealism', 'Level Up!']","[('Darkin', '1'), ('Empress', '1'), ('Redeemer', '1'), ('Technogenius', '1'), ('Wanderer', '1'), ('Ionia', '3'), ('Bastion', '2'), ('Invoker', '2'), ('Shadow Isles', '2'), ('Slayer', '2')]","[('ApexTurret', 0), ('Shen', '1'), ('Gwen', '2'), ('Heimerdinger', '1'), ('Sion', '1'), (""Bel'Veth"", '2'), ('Ryze: Ionia', '2'), (""K'Sante"", '2'), ('Senna', '2'), ('Ahri', '2'), ('Aatrox', '2')]"
2,"['Social Distancing I', 'Tons of Stats!', 'It Pays to Learn II']","[('Freljord', '3'), ('Wanderer', '1'), ('Shurima', '3'), ('Deadeye', '2'), ('Invoker', '2'), ('Strategist', '2')]","[('Ashe', '2'), ('Lissandra', '2'), ('Akshan', '2'), ('Nasus', '2'), ('Azir', '2'), ('Jarvan IV', '2'), ('Sejuani', '2'), ('Ryze: Targon', '1')]"
2,"['Slayer Crest', 'Frequent Flier', 'Return on Investment']","[('Slayer', '4'), ('Ionia', '3'), ('Noxus', '3'), ('Challenger', '2'), ('Juggernaut', '2'), ('Rogue', '2'), ('Shadow Isles', '2')]","[('Sett', '2'), ('Zed', '3'), ('Kled', '3'), ('Kalista', '1'), ('Darius', '2'), ('Katarina', '3'), ('Yasuo', '1'), ('Gwen', '2')]"
